"","MetabID","shortname","Fill..","S.N.average","Ontology","Metabolite.name","Formula","HMDB","KEGG","HMDB_accession","CHEBI_ID","PubChem_ID","BiGG_ID","INCHIKEY","SMILES","Serum","Urine","SUB_CLASS","CATEGORY","MAIN_CLASS"
"Indoline","640_pos","Indoline",0.87,381.49,NA,"Unknown","null","Indoline;Isoindoline","","HMDB0253472;HMDB0253648","43295;NA","10328;422478","NA;NA","null","null",TRUE,TRUE,"Indolines","Indoles and derivatives","Indolines"
"Indolylmethyl glucosinolate","15280_neg","Indolylmethyl glucosinolate",0.02,310951.3,"Alkylglucosinolates","no MS2: Indolylmethyl glucosinolate; LC-ESI-ITFT; MS2; HCD; CE 65.0 eV; [M-H]-","C16H20N2O9S2",NA,NA,NA,NA,NA,NA,"DNDNWOWHUWNBCK-LDADJPATNA-N","OCC1OC(S\C(CC2=CNC3=CC=CC=C23)=N\OS(O)(=O)=O)C(O)C(O)C1O",TRUE,TRUE,NA,NA,NA
"Indoxyl sulfate","4244_neg","Indoxyl sulfate",0.91,27626.33,NA,"Indoxyl Sulfate","null","Indoxyl sulfate;6-Hydroxyindole sulfate;7-Hydroxyindole sulfate","","HMDB0000682;HMDB0240651;HMDB0240659","43355;133568;NA","10258;122198196;NA","NA;NA;NA","null","null",TRUE,TRUE,"Arylsulfates","Organic sulfuric acids and derivatives","Arylsulfates"
"Inosine","6902_neg","Inosine",0.53,62.35,"Purine nucleosides","no MS2: Inosine; LC-ESI-ITFT; MS2; m/z","C10H12N4O5","Inosine;Allopurinol riboside;Arabinosylhypoxanthine;Ara-HX;Formycin b;Fructose lactate;galactose lactate","C00294","HMDB0000195;HMDB0000481;HMDB0003040;HMDB0247301;HMDB0252449;HMDB0252491;HMDB0252580","17596;74074;705435;NA;NA;NA;NA","6021;5273534;46874582;804;3411;NA;NA","34525;NA;NA;NA;NA;NA;NA","UGQMRVRMYYASKQ-KQYNXXCUSA-N","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2O",TRUE,TRUE,"Purine nucleosides","Purine nucleosides",NA
"Inosinic acid","10649_neg","Inosinic acid",0.04,120.45,NA,"Inosinic Acid","null","Inosinic acid;Glucose-6-phosphate lactate;[(2R,5R)-3,4-Dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate","C00130","HMDB0000175;HMDB0252789;HMDB0257686","17202;NA;NA","8582;NA;135402036","33960;NA;NA","null","null",TRUE,TRUE,"Purine ribonucleoside monophosphates","Purine nucleotides","Purine ribonucleotides"
"Iodomethane","1290_neg","Iodomethane",0.56,14.6,NA,"Unknown","null","Iodomethane","C18448","HMDB0253530","39282","6328","NA","null","null",TRUE,FALSE,"Halomethanes","Alkyl halides","Halomethanes"
"Irganox 1330","24120_pos","Irganox 1330",0.04,38.26,"Linear diarylheptanoids","no MS2: IRGANOX 1330; MALDI-TOFTOF; MS2; CE","C54H78O3",NA,NA,NA,NA,NA,NA,"VSAWBBYYMBQKIK-UHFFFAOYSA-N","CC1=C(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)C(C)=C(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)C(C)=C1CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C",TRUE,FALSE,NA,NA,NA
"Isobutyrylglycine","1422_neg","Isobutyrylglycine",0.93,2568.79,NA,"4-ACETAMIDOBUTANOATE","null","Isobutyrylglycine;N-Butyrylglycine;Allysine;4-Acetamidobutanoic acid;N-Propionylalanine;methyl 2-amino-4-oxopentanoate;But-2-en-2-yl 2-aminoethaneperoxoate;Amino 6-oxohexanoate","C04076;C02946","HMDB0000730;HMDB0000808;HMDB0001263;HMDB0003681;HMDB0094698;HMDB0254565;HMDB0257836;HMDB0258069","70979;89963;17917;17645;NA;NA;NA;NA","10855600;88412;160603;18189;22788191;16052023;87435891;56609415","NA;NA;NA;1446095;NA;NA;NA;NA","null","null",TRUE,TRUE,"N-acyl-alpha amino acids","Carboxylic acids and derivatives","Amino acids, peptides, and analogues"
"Isoleucyl-serine","4688_pos","Isoleucyl-serine",0.84,58.24,"Carbamate esters","no MS2: Meprobamate; LC-ESI-QTOF; MS2; CE","C9H18N2O4","Isoleucyl-Serine;Leucyl-Serine;Serylisoleucine;Serylleucine;Threonylvaline;Valylthreonine;(2R)-2-Amino-2-[[(1S)-1-carboxyethyl]amino]-4-methylpentanoic acid;N(6)-(1-Carboxyethyl)-L-lysine;Carboxyethyllysine;epsilon-(Carboxyethyl)lysine;1,3-Propanediol, 2,2-diethyl-, dicarbamate;N(epsilon)-(carboxyethyl)lysine;Ser-Leu","","HMDB0028916;HMDB0028938;HMDB0029042;HMDB0029043;HMDB0029074;HMDB0029137;HMDB0242765;HMDB0243495;HMDB0249659;HMDB0251886;HMDB0254691;HMDB0255289;HMDB0258242","NA;NA;90326;74815;90328;NA;NA;NA;NA;NA;NA;61063;NA","14426033;3621685;71429009;7015694;7020901;NA;76082687;22283604;22483881;NA;80111;49852413;NA","NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA","NPPQSCRMBWNHMW-UHFFFAOYSA-N","CCCC(C)(COC(O)=N)COC(O)=N",TRUE,TRUE,NA,NA,NA
"Isoleucylproline","5187_pos","Isoleucylproline",0.87,3395.49,NA,"Unknown","null","Isoleucylproline;Leucylproline;N,N,N-Trimethyl-L-alanyl-L-proline betaine;Pro-leu","","HMDB0011174;HMDB0011175;HMDB0240365;HMDB0253028","74076;73580;NA;NA","444876;80817;134218393;3527720","NA;NA;NA;NA","null","null",TRUE,TRUE,"Dipeptides","Carboxylic acids and derivatives","Amino acids, peptides, and analogues"
"Isopilocarpinic acid","4924_neg","Isopilocarpinic acid",0.51,13750.3,NA,"Unknown","null","Isopilocarpinic acid","","HMDB0253672","NA","9991283","NA","null","null",TRUE,FALSE,"Imidazolyl carboxylic acids and derivatives","Azoles","Imidazoles"
"Isovaleraldehyde","49_pos","Isovaleraldehyde",0.87,112.27,NA,"Unknown","null","Isovaleraldehyde;Prenol;3-Methyl-3-buten-1-ol;Pentanal;(S)-2-Methylbutanal;(\xc2\xb1)-2-Methylbutanal;(E)-2-Penten-1-ol;1-Penten-3-ol;2-Pentanone;2-Methyltetrahydrofuran;Isopentenol;TETRAHYDROPYRAN","C07329;C01390;C02223;C01949","HMDB0006478;HMDB0030124;HMDB0030126;HMDB0031206;HMDB0031525;HMDB0031526;HMDB0031604;HMDB0031605;HMDB0034235;HMDB0245240;HMDB0253669;HMDB0258904","16638;16019;62898;84069;88414;16182;145352;NA;16472;NA;NA;46941","11552;11173;12988;8063;6971249;7284;5364919;12020;7895;7301;152927;NA","NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,"Alpha-hydrogen aldehydes","Organooxygen compounds","Carbonyl compounds"
"Israpafant","16873_neg","Israpafant",0.04,71168.2,NA,"Unknown","null","Israpafant","","HMDB0253717","NA","119175","NA","null","null",TRUE,TRUE,"Thienodiazepines","Thienodiazepines",NA
