"","se_1","se_2","se_3","se_4","se_5","se_6","se_7","se_8","se_9","se_10","se_11","se_12","se_13","se_14","se_15","se_16","se_17"
"(3r,4s)-2-[6-(cyclohexylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",11.8171961531336,11.9584819178354,12.510934792723,11.7465538329983,12.2100864633539,11.292797893359,11.389498211868,11.2985272868906,11.72898899942,12.9563814783397,11.2120362903122,11.2576174511268,11.862378646519,11.9066573633823,11.8973477058352,11.9110667818831,12.7340425560801
"(4-aminophenyl)phosphonic acid",12.2512819663279,11.8876342878718,12.4470425609457,11.7583194803182,12.2136808949302,9.39468561414926,11.440652410598,12.1821728260023,11.2218793498879,10.443520346692,12.5565075144731,11.7128393681552,12.098757803295,10.9929418442373,12.1399682708216,10.9822391933801,12.3091358558566
"(4-carbamimidoylphenyl)methanesulfonyl fluoride",10.3632007996388,12.2644535315868,11.380273997929,11.6356018413521,11.5474625978414,11.9466142316359,11.8884176785538,11.2790674911143,12.6337184859129,12.8018059812751,12.0166579800518,12.7245286926518,12.2512913366394,12.3722316976792,12.2438414926079,11.7225528811026,11.928364014176
"(4-sulfamoylphenyl) 4-(diaminomethylideneamino)benzoate",11.227923433431,10.4408330808538,10.6593780700631,10.1722290670555,9.59668206108119,11.5664128085731,10.2558956004959,9.69022910311763,11.6753487663248,11.3718665153072,10.517518195157,10.2551722463655,11.7659402028061,10.4162797613572,11.6208470234126,9.64440671237606,10.6581132742824
"(5s,6r)-methyl 5,6,7-trihydroxyheptanoate",11.1535302640964,11.2128110283745,11.20885844688,11.105884231098,11.1935438662825,11.5770996106754,11.4407812690477,11.1896787997495,11.166996754958,11.1228075657243,10.9536743401786,11.5593251834551,11.1723533212174,11.2552009461675,11.1795228580504,11.2286242796027,11.223439249326
"(8r)-3-[(4s,5r)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-7,8-dihydro-4h-imidazo[4,5-d][1,3]diazepin-8-ol",13.2961527224441,13.6672870584224,13.666118795332,13.0433280464655,13.3816168216076,13.6784533312958,13.8450232503515,13.8582853804679,13.8135809368341,13.6113689170193,12.5208966779568,12.9733434493879,13.5604097525492,13.760084285558,13.6329872975975,13.7166229846428,13.6958785637489
"(S)-3,4-dihydroxybutyric acid",16.3848275902359,16.7500600670737,16.6645118757943,16.100892931831,16.5800857359249,16.9201176030336,17.0686213649257,16.5611301634679,17.0236892027187,16.1276554789689,16.1560129612607,16.00362100775,16.6546800698612,16.7118549541185,16.2070488756133,16.7236683656413,16.5595511198221
"(Z)-n-feruloyl-5-hydroxyanthranilic acid",12.117939690553,12.3548906979029,11.3633961311885,11.2479090145939,11.5648229811994,12.4649245134521,12.1141675925493,11.5779009941329,11.9365854084746,11.832416267662,12.3242911957544,12.2587371026704,11.5359423101419,12.2701066423442,11.8788012248123,12.3620401777039,12.4745579545872
"1,1'-thiocarbonyldiimidazole",14.1808343648535,14.4884797964602,13.924969294217,13.9691328720499,14.0536041240429,14.307239700544,14.3768276913418,13.9498398543461,14.1797235736461,14.045326678775,13.879519728244,14.3801495638598,13.8906983147776,14.0767950475423,14.4120957755553,14.3219750848451,14.2176151433826
"1,1-diethyl-2-hydroxy-3-oxotriazane",23.1477231546568,22.870229210976,23.2903725484721,23.2939613841113,23.1616502195013,23.2143372150356,22.7682083817483,23.2678220314535,22.9606915556758,23.4315875224861,23.2102469499209,23.1659811795305,23.2346566809946,22.8519595098444,22.8950513493474,23.0938155809651,23.2230163769593
