"","MetabID","shortname","Fill..","S.N.average","Ontology","Metabolite.name","Formula","HMDB","KEGG","HMDB_accession","CHEBI_ID","PubChem_ID","BiGG_ID","INCHIKEY","SMILES","Serum","Urine","SUB_CLASS","CATEGORY","MAIN_CLASS"
"10-piperazinylpropylphenothiazine","9615_neg","10-piperazinylpropylphenothiazine",0.27,2781828,NA,"Unknown","null","10-Piperazinylpropylphenothiazine","","HMDB0250993","NA","NA","NA","null","null",FALSE,TRUE,NA,NA,NA
"10h-pyrido(3,2-b)(1,4)benzothiazine, 10-(2-morpholinoethyl)-","9528_pos","10h-pyrido(3,2-b)(1,4)benzothiazine, 10-(2-morpholinoethyl)-",0.22,11.88,NA,"Unknown","null","10H-Pyrido(3,2-b)(1,4)benzothiazine, 10-(2-morpholinoethyl)-","","HMDB0250728","NA","3051464","NA","null","null",FALSE,TRUE,NA,NA,NA
"11,17-dihydroxy-3,20-dioxopregn-4-en-21-yl acetate","13889_pos","11,17-dihydroxy-3,20-dioxopregn-4-en-21-yl acetate",0.04,24.88,NA,"Unknown","null","11,17-Dihydroxy-3,20-dioxopregn-4-en-21-yl acetate;Desoxycortisone acetate;strophanthidin","","HMDB0244374;HMDB0251066;HMDB0258516","NA;NA;131147","3641;NA;5303","NA;NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"11-beta-hydroxyandrosterone-3-glucuronide","16644_neg","11-beta-hydroxyandrosterone-3-glucuronide",0.31,2114686,NA,"Unknown","null","11-beta-Hydroxyandrosterone-3-glucuronide","C05643","HMDB0010351","2198","1864","46185","null","null",TRUE,TRUE,NA,NA,NA
"11-dehydrodexamethasone","12677_neg","11-dehydrodexamethasone",0.11,34.43,NA,"Unknown","null","11-Dehydrodexamethasone;Fluocortin","","HMDB0244350;HMDB0252349","NA;NA","75000659;21959983","NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"11-hydroxyyohimbine","11689_neg","11-hydroxyyohimbine",0.16,163758,NA,"Unknown","null","11-Hydroxyyohimbine;Samidorphan","","HMDB0244362;HMDB0257474","NA;NA","18412807;11624889","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"11-mercaptoundecanoic acid","4529_neg","11-mercaptoundecanoic acid",0.4,120.1,NA,"N-A-Acetyl-L-Arginine","null","11-Mercaptoundecanoic acid","","HMDB0244368","NA","NA","NA","null","null",FALSE,TRUE,NA,NA,NA
"12(13)ep-9-kode","9404_pos","12(13)ep-9-kode",0.18,402014,NA,"Unknown","null","12(13)Ep-9-KODE;9-Oxo-11-(3-pentyloxiran-2-YL)undec-10-enoic acid","","HMDB0013623;HMDB0246689","89606;NA","5283007;53394018","NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"14-deoxy-11,12-didehydroandrographolide","9961_neg","14-deoxy-11,12-didehydroandrographolide",0.22,15726.62,NA,"Unknown","null","14-Deoxy-11,12-didehydroandrographolide;Glaucocalyxin A;Dehydroandrographolide","","HMDB0244578;HMDB0252739;HMDB0259665","NA;NA;NA","4262071;14193397;53394883","NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"16alpha-fluoroestradiol","8368_pos","16alpha-fluoroestradiol",0.42,24.72,NA,"Unknown","null","16alpha-Fluoroestradiol;4-Fluoroestradiol","","HMDB0244757;HMDB0246427","NA;NA","14211618;261652","NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"17-ethynyl-16-fluoroestradiol","9582_pos","17-ethynyl-16-fluoroestradiol",0.2,7.08,NA,"Unknown","null","17-Ethynyl-16-fluoroestradiol","","HMDB0244769","NA","14728728","NA","null","null",FALSE,TRUE,NA,NA,NA
"17beta-estradiol 3-sulfate","10853_neg","17beta-estradiol 3-sulfate",0.42,18.94,NA,"Unknown","null","17beta-Estradiol 3-sulfate;Estradiol 17-sulfate;1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide;[(8R,9S,13S,14S)-13-Methyl-17-oxo-4,6,7,8,9,11,12,14,15,16-decahydro-3H-cyclopenta[a]phenanthren-3-yl] hydrogen sulfate","C08357","HMDB0004448;HMDB0251958;HMDB0256625;HMDB0257854","4866;NA;73290;NA","66416;NA;NA;NA","NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"18-hydroxycortisol","12099_neg","18-hydroxycortisol",0.13,571989.6,NA,"Unknown","null","18-Hydroxycortisol;6-Hydroxycortisol;(2E)-2-[(4,5-Dimethoxy-2-methyl-3,6-dioxocyclohexa-1,4-dien-1-yl)methylidene]undecanoic acid;hydroxycortisol;3-(2-Aminoethyl)-5-methoxy-N-[2-(5-methoxy-1H-indol-3-yl)ethyl]indol-1-amine;Pregn-4-ene-3,20-dione, 11,17,18,21-tetrahydroxy-, (11beta)-;(8S,9S,10S,11S,13S,14S,17R)-11,17-Dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,4,5,6,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthrene-2,3-dione","","HMDB0000418;HMDB0247074;HMDB0251668;HMDB0253262;HMDB0255401;HMDB0259664;HMDB0260196","89455;NA;NA;NA;NA;NA;NA","44263343;253325;131939;NA;91256568;NA;NA","NA;NA;NA;NA;NA;NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"1beta-methylcarbapenem","766_pos","1beta-methylcarbapenem",0.24,40.89,NA,"Unknown","null","1beta-Methylcarbapenem;4-(Methylamino)phenol;O-Anisidine","C19191","HMDB0244863;HMDB0246311;HMDB0255842","NA;55416;82288","73323488;5931;NA","NA;NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"1h,1'h-2,2'-disulfanediyl-bis-imidazole","3514_neg","1h,1'h-2,2'-disulfanediyl-bis-imidazole",0.2,77.2,NA,"Unknown","null","""1H,1'H-2,2'-Disulfanediyl-bis-imidazole""","","HMDB0245174","NA","15592785","NA","null","null",FALSE,TRUE,NA,NA,NA
"1h-1,2,4-triazole-3-carboxamide","453_pos","1h-1,2,4-triazole-3-carboxamide",0.04,106.95,NA,"Unknown","null","1H-1,2,4-Triazole-3-carboxamide","","HMDB0244869","NA","NA","NA","null","null",FALSE,TRUE,NA,NA,NA
"1h-indole-2,3-dione","1596_pos","1h-indole-2,3-dione",0.38,30.59,"Indolines","no MS2: Isatin; LC-ESI-QTOF; MS2; [M+H]+; CE","C8H5NO2","1H-Indole-2,3-dione;Phthalimide","C11129","HMDB0061933;HMDB0256502","27539;38817","7054;NA","NA;NA","JXDYKVIHCLTXOP-UHFFFAOYSA-N","O=C1NC2=CC=CC=C2C1=O",TRUE,TRUE,NA,NA,NA
"1r-cis-3,3,5-trimethylcyclohexyl ester5-oxo-l-proline","6189_neg","1r-cis-3,3,5-trimethylcyclohexyl ester5-oxo-l-proline",0.49,59.05,NA,"Unknown","null","1R-cis-3,3,5-Trimethylcyclohexyl ester5-oxo-L-proline;O-Demethylmetoprolol","","HMDB0244460;HMDB0255850","NA;NA","60724;162181","NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"2',3'-dideoxyadenosine","5573_pos","2',3'-dideoxyadenosine",0.24,17.49,NA,"Unknown","null","""2',3'-Dideoxyadenosine"";""2',5'-Dideoxyadenosine"";(2R,3R,4R,5R)-2-Amino-4,5,6-trihydroxy-3-[(2R)-1-oxopropan-2-yl]oxyhexanal","","HMDB0245544;HMDB0245554;HMDB0255309","110174;93820;NA","263976;3044;NA","NA;NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"2',3'-dideoxyuridine","4226_neg","2',3'-dideoxyuridine",0.4,87.21,NA,"Unknown","null","""2',3'-Dideoxyuridine"";(1R,2R)-2-Amino-1-(4-nitrophenyl)propane-1,3-diol","","HMDB0245547;HMDB0247315","NA;NA","355836;92743","NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"2',4'-dihydroxy-6'-methoxy-3'-methylchalcone","7671_neg","2',4'-dihydroxy-6'-methoxy-3'-methylchalcone",0.11,5.09,NA,"Unknown","null","""2',4'-Dihydroxy-6'-methoxy-3'-methylchalcone"";2-Propenoic acid, 3-(3,4-dihydroxyphenyl)-, 2-phenylethyl ester;Mollugin","","HMDB0245553;HMDB0246033;HMDB0254836","NA;93478;141063","73097563;108042;NA","NA;NA;NA","null","null",FALSE,TRUE,NA,NA,NA
"2'-carboxymethoxy-4,4'-bis(3-methyl-2-butenyloxy) chalcone","15825_pos","2'-carboxymethoxy-4,4'-bis(3-methyl-2-butenyloxy) chalcone",0.24,7.44,NA,"Unknown","null","""2'-Carboxymethoxy-4,4'-bis(3-methyl-2-butenyloxy) chalcone""","","HMDB0247789","NA","5249","NA","null","null",FALSE,TRUE,NA,NA,NA
"2'-fluoro-2',3'-dideoxyinosine","6231_neg","2'-fluoro-2',3'-dideoxyinosine",0.09,17.94,NA,"Unknown","null","""2'-Fluoro-2',3'-dideoxyinosine"";Neosalacinol","","HMDB0245537;HMDB0255529","NA;NA","135455575;75029133","NA;NA","null","null",FALSE,TRUE,NA,NA,NA
