clade_name	clade_taxid	Abx-1_counts	Abx-1_coverage	Abx-1_relative_abundance	Abx-2_counts	Abx-2_coverage	Abx-2_relative_abundance	Abx-3_counts	Abx-3_coverage	Abx-3_relative_abundance	Abx-4_counts	Abx-4_coverage	Abx-4_relative_abundance	Abx-5_counts	Abx-5_coverage	Abx-5_relative_abundance	Het-1_counts	Het-1_coverage	Het-1_relative_abundance	Het-2_counts	Het-2_coverage	Het-2_relative_abundance	Het-3_counts	Het-3_coverage	Het-3_relative_abundance	Het-4_counts	Het-4_coverage	Het-4_relative_abundance	Het-5_counts	Het-5_coverage	Het-5_relative_abundance	Homo-1_counts	Homo-1_coverage	Homo-1_relative_abundance	Homo-2_counts	Homo-2_coverage	Homo-2_relative_abundance	Homo-3_counts	Homo-3_coverage	Homo-3_relative_abundance	Homo-4_counts	Homo-4_coverage	Homo-4_relative_abundance	Homo-5_counts	Homo-5_coverage	Homo-5_relative_abundance
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp009775375	2|976||||||	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37069.0	0.01005	0.02519	36729.0	0.00996	0.02287	41485.0	0.01124	0.03216	32065.0	0.00869	0.02823	0.0	0.0	0.0	196257.0	0.05319	0.11477	7270.0	0.00197	0.00499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp002490635	2|1239|186801|186802|186806|||	5201.0	0.00217	0.01123	5488.0	0.00229	0.01412	1012.0	0.00042	0.00186	5470.0	0.00229	0.01148	4108.0	0.00172	0.00791	1393783.0	0.58262	1.46079	2239667.0	0.93621	2.15073	2238797.0	0.93585	2.67682	2041194.0	0.85325	2.77168	484730.0	0.20262	0.46201	2659652.0	1.11177	2.3987	1951995.0	0.81596	2.06467	546894.0	0.22861	0.70595	1287390.0	0.53815	1.22361	1207547.0	0.50477	1.65173
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775225	2|1239|909932|909929|1843491|||	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94484.0	0.03641	0.09128	145657.0	0.05612	0.12893	167251.0	0.06444	0.18433	128269.0	0.04942	0.16055	48496.0	0.01869	0.04261	72091.0	0.02778	0.05993	138301.0	0.05329	0.13484	0.0	0.0	0.0	19547.0	0.00753	0.01713	21625.0	0.00833	0.02727
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	2|1239|91061|1385|90964|||	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18693.0	0.00791	0.02002	77627.0	0.03286	0.10147	386382.0	0.16355	0.37187	110977.0	0.04698	0.15371
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp011959565	2|976|200643|171549|2005473||2498093|	866.0	0.00034	0.00175	2452.0	0.00096	0.00591	3937.0	0.00154	0.00677	0.0	0.0	0.0	0.0	0.0	0.0	840775.0	0.32942	0.82595	1421483.0	0.55694	1.27945	913025.0	0.35773	1.02322	1293052.0	0.50662	1.64571	2082732.0	0.81603	1.86067	117419.0	0.04601	0.09926	98094.0	0.03843	0.09725	375600.0	0.14716	0.45444	660422.0	0.25876	0.58835	36439.0	0.01428	0.04672
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp910587235	2|976||||||	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	5e-05	0.00012	0.0	0.0	0.0	1165.0	0.0004	0.00116	857.0	0.0003	0.00097	0.0	0.0	0.0	0.0	0.0	0.0	68415.0	0.02373	0.06004	0.0	0.0	0.0	0.0	0.0	0.0	1134.0	0.00039	0.00129
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella dubosii	2|976|200643|171549|2005473|2518495|2518971|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9422.0	0.00301	0.00929	5705.0	0.00182	0.00414	3798.0	0.00121	0.00397
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	2|976|200643|171549|2005473|2518495|2094150|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63872.0	0.02439	0.06115	169197.0	0.0646	0.14841	197321.0	0.07534	0.2155	125940.0	0.04809	0.1562	37857.0	0.01445	0.03296	2438.0	0.00093	0.00201	23157.0	0.00884	0.02237	0.0	0.0	0.0	26898.0	0.01027	0.02335	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689575	2|976|200643|171549|2005473||2486473|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167064.0	0.05738	0.14388	147157.0	0.05055	0.11612	256486.0	0.0881	0.252	163289.0	0.05609	0.1822	74468.0	0.02558	0.05832	108165.0	0.03715	0.08016	260644.0	0.08953	0.22654	443798.0	0.15244	0.47073	445003.0	0.15285	0.34755	131484.0	0.04516	0.14779
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum arabinoxylanisolvens	2|1239|186801|186802|186803|||	4460.0	0.00141	0.00731	11062.0	0.00351	0.02159	3448.0	0.00109	0.0048	5889.0	0.00187	0.00938	17158.0	0.00544	0.02507	5257374.0	1.66758	4.18108	2253013.0	0.71463	1.6417	1798405.0	0.57043	1.63162	2981899.0	0.94582	3.0724	20821.0	0.0066	0.01506	1468799.0	0.46589	1.00517	6401452.0	2.03047	5.1378	7339176.0	2.3279	7.18857	3756029.0	1.19137	2.70888	2576753.0	0.81732	2.67445
