"species","sample","relabundance","clade_name","clade_taxid","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Strain","sample_col","group","shannon"
"Lactococcus cremoris","Homo-2",1.79535132628676e-05,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris","2|1239|91061|186826|1300|1357|1359|","Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus cremoris",NA,"Homo-2","Homo",3.25085471296027
"Lactococcus cremoris","Homo-3",1.42339408476422e-06,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris","2|1239|91061|186826|1300|1357|1359|","Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus cremoris",NA,"Homo-3","Homo",2.93697670643542
"Lactococcus cremoris","Homo-4",3.28014323020458e-05,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris","2|1239|91061|186826|1300|1357|1359|","Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus cremoris",NA,"Homo-4","Homo",3.25354424096843
"Lactococcus cremoris","Homo-5",6.9845821460635e-07,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris","2|1239|91061|186826|1300|1357|1359|","Bacteria",NA,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus cremoris",NA,"Homo-5","Homo",3.61143676832688
"Acutalibacter muris","Het-1",0.000529572943416354,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris","2|1239|186801|186802|216572||1834198|","Bacteria",NA,"Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris",NA,"Het-1","Het",3.06514540372197
"Acutalibacter muris","Het-2",0.00028562812625386,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris","2|1239|186801|186802|216572||1834198|","Bacteria",NA,"Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris",NA,"Het-2","Het",2.97714543313782
"Acutalibacter muris","Het-3",0.000168539805121492,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris","2|1239|186801|186802|216572||1834198|","Bacteria",NA,"Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris",NA,"Het-3","Het",3.12470294194333
"Acutalibacter muris","Het-4",0.000268122367699289,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris","2|1239|186801|186802|216572||1834198|","Bacteria",NA,"Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris",NA,"Het-4","Het",3.11326772334003
"Acutalibacter muris","Het-5",7.99569290654381e-05,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris","2|1239|186801|186802|216572||1834198|","Bacteria",NA,"Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris",NA,"Het-5","Het",2.60899831494817
"Acutalibacter muris","Homo-1",0.0154300656591424,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris","2|1239|186801|186802|216572||1834198|","Bacteria",NA,"Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris",NA,"Homo-1","Homo",2.99124792595373
"Acutalibacter muris","Homo-2",0.0034755480840887,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris","2|1239|186801|186802|216572||1834198|","Bacteria",NA,"Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris",NA,"Homo-2","Homo",3.25085471296027
"Acutalibacter muris","Homo-3",0.0027547943219084,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris","2|1239|186801|186802|216572||1834198|","Bacteria",NA,"Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris",NA,"Homo-3","Homo",2.93697670643542
"Acutalibacter muris","Homo-4",0.0019279924689813,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris","2|1239|186801|186802|216572||1834198|","Bacteria",NA,"Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris",NA,"Homo-4","Homo",3.25354424096843
"Acutalibacter muris","Homo-5",0.0233333280948967,"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris","2|1239|186801|186802|216572||1834198|","Bacteria",NA,"Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter muris",NA,"Homo-5","Homo",3.61143676832688
